Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65e335c0ac304155b890f15f,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Aachen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Aachen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1af,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Wuppertal,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Wuppertal-Barmen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1aa,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Wuppertal,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Wuppertal,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f191,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Wissen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Wissen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1ab,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Wermelskirchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Wermelskirchen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1a5,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Viersen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Viersen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1ac,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Solingen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Solingen-Ohligs,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1ae,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Solingen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Solingen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f198,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Siegen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Siegen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1a1,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Siegburg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Siegburg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1b1,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Schwelm,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Schwelm,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1b2,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Remscheid,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Remscheid,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f15e,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Ratingen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Ratingen-Lintorf,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
