City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Monastervin Road, Athy"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Athy
Maynooth,anytime_fitness,,unknown,Anytime Fitness
Naas,carpetright_gb,,unknown,Carpetright
unknown,inver,Athy Co.Kildare,unknown,Inver Athy
unknown,inver,Clane Co.Kildare,unknown,Inver Clane
unknown,inver,Dublin Road Castledermot Co. Kildare R14 EK58,unknown,Inver Castledermot
unknown,inver,Donadea Co. Kildare,unknown,Inver Painstown
unknown,inver,Blessington Road Co. Kildare,unknown,Inver Whelans Poulaphouca
Clane,lidl_ie,,unknown,Clane
Sallins,lidl_ie,,unknown,Sallins
Celbridge,lidl_ie,,unknown,Celbridge
Kilcock,lidl_ie,,unknown,Kilcock
Athy,lidl_ie,,unknown,Athy-Leinster Street
Kildare,lidl_ie,,unknown,Kildare - Dublin Rd
Leixlip,lidl_ie,,unknown,Leixlip
Newbridge,lidl_ie,,unknown,Newbridge
Naas,lidl_ie,,unknown,Naas
Maynooth,lidl_ie,,unknown,Maynooth
Kildare,maxol_ie,,unknown,Maxol Service Station Newbridge
Kildare,michaelkors,,unknown,Michael Kors Outlet Kildare Village
Newbridge,subway,,unknown,Subway The Commercial
Naas County Kildare,subway,,unknown,Subway
Monasterevin,subway,,unknown,Subway Texaco Service Area
Naas Co. Kildare,subway,,unknown,Subway Applegreen Service Station
Celbridge,subway,,unknown,Subway Texaco Gas Station/C-Store
Kildare,superdry,,unknown,Superdry  Kildare Village
Maynooth,the_range,,unknown,The Range: Maynooth
Kildare,vans,,unknown,VANS Outlet Kildare
ATHY,visa,,unknown,unknown
KILDAR,visa,,unknown,unknown
NEWBRIDGE,visa,,unknown,unknown
NAAS,visa,,unknown,unknown
CLANE,visa,,unknown,unknown
CELBRIDGE,visa,,unknown,unknown
LEIXLIP,visa,,unknown,unknown
MAYNOOTH,visa,,unknown,unknown
Newbridge,western_union,,unknown,G KINGDOM MOON LIGHT ENTERPRISES
