City,Place Name,Zipcode,Name
Lienz,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Lienz, Johannesplatz 3"
Wolfsberg,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Wolfsberg, Am Weiher 1"
Leibnitz,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Leibnitz, Hauptplatz 14"
Leoben,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Leoben, Dominikanergasse 1/ Hauptplatz 18"
Oberwart,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Oberwart, Wienerstraße 8 a"
Kapfenberg,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Kapfenberg Zentrum, ece Kapfenberg"
Baden,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Baden, Pfarrgasse 1"
Graz,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Graz, Herrengasse 9"
Klagenfurt,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Klagenfurt Zentrum, City-Arkaden Klagenfurt"
Seiersberg bei Graz,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Seiersberg bei Graz, Shoppingcity"
Villach,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Villach Zentrum, Hauptplatz 25"
Wiener Neustadt,fielmann_at,,unknown,"Fielmann - Ihr Optiker in Wiener Neustadt, Herzog Leopold-Straße 9"
