Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
451022,bash_za,Jet THE GABLES MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/jet-the-gables-manzini-H100/451022,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
000704,bash_za,The FIX THE GABLES MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/the-fix-the-gables-manzini-H100/000704,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
063181,bash_za,Sportscene THE GABLES MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/sportscene-the-gables-manzini-H100/063181,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
062218,bash_za,Totalsports MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/totalsports-manzini-H100/062218,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
060243,bash_za,Sportscene THE GABLES MANZINI - OLD,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/sportscene-the-gables-manzini---old-H100/060243,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
454243,bash_za,Jet MATSAPA,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/jet-matsapa-H100/454243,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
015207,bash_za,Sterns MBABANE SWAZILAND,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/sterns-mbabane-swaziland-H100/015207,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
063856,bash_za,Sportscene MBABANE,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/sportscene-mbabane-H100/063856,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
451920,bash_za,Jet BHUNU MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/jet-bhunu-manzini-H100/451920,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
030579,bash_za,EXACT THE GABLES MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/exact-the-gables-manzini-H100/030579,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
066530,bash_za,Sportscene MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/sportscene-manzini-H100/066530,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
011311,bash_za,American Swiss THE GABLES MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/american-swiss-the-gables-manzini-H100/011311,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
069204,bash_za,Totalsports MBABANE,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/totalsports-mbabane-H100/069204,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
000725,bash_za,Foschini THE GABLES MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/foschini-the-gables-manzini-H100/000725,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
451292,bash_za,Jet MANZINI,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/jet-manzini-H100/451292,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
015214,bash_za,Sterns MANZINI SWAZILAND,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/sterns-manzini-swaziland-H100/015214,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
020735,bash_za,MARKHAM THE GABLES,,MANZINI,SWAZILAND,,ZA,,https://bash.com/store/markham-the-gables-H100/020735,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
