Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65e335c0ac304155b890f199,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Wesel,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Wesel,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f17f,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Velbert,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Velbert,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f17a,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Oberhausen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Oberhausen-Sterkrade,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f17b,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Oberhausen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Oberhausen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f183,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,MÃ¼lheim,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BClheim%20an%20der%20Ruhr,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f17d,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Moers,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Moers,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f19c,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Kleve,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Kleve,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f180,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Essen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Essen-R%C3%BCttenscheid,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f181,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Essen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Essen-Frohnhausen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f17e,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Essen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Essen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f17c,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Duisburg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Duisburg-Hamborn,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f179,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Duisburg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Duisburg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f19b,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Dinslaken,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Dinslaken,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f184,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Bottrop,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Bottrop,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f19a,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Bocholt,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Bocholt,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
