Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74117233,moneygram,BOC - #23655,,YING KOU SHI,,,CN,+86 417 280 5990,,Mo-Fr 08:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66682611,moneygram,BOC - #04685 - LNYK YONGHONG SUB-BRANCH,,YINGKOU,,,CN,+86 417 284 5916,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682682,moneygram,BOC - #23579 - LNYK BOHAI SUB-BRANCH,,YINGKOU,,,CN,+86 417 283 4104,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682640,moneygram,BOC - #04687 - LNYK DONGSHENG SUB-BRANCH,,YINGKOU,,,CN,+86 417 384 9364,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682679,moneygram,BOC - #04689 - LNYK DAQINGLU SUB-BRANCH,,YINGKOU,,,CN,+86 417 384 2443,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682598,moneygram,BOC - #04952 - LNYK YINGKOU BRANCH,,YINGKOU,,,CN,+86 417 284 4874,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682624,moneygram,BOC - #04682 - LNYK PANPANLU SUN-BRANCH,,YINGKOU,,,CN,+86 417 280 7330,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682608,moneygram,BOC - #04684 - LNYK JINJIE SUB-BRANCH,,YINGKOU,,,CN,+86 417 282 5833,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682653,moneygram,BOC - #04686 - LNYK ZHANQIAN SUB-BRANCH,,YINGKOU,,,CN,+86 417 384 0893,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682637,moneygram,BOC - #04683 - LNYK XINHUALU SUB-BRANCH,,YINGKOU,,,CN,+86 417 482 4930,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
66682666,moneygram,BOC - #04688 - LNYK JINNIUSHANDAJIE SUB-,,YINGKOU,,,CN,+86 417 283 0321,,Mo-Fr 08:00-17:00; Sa-Su 08:00-16:00,MoneyGram,Q1944412
71556059,moneygram,BOC - #23630 - LNYK JIANFENG SUBBR,,YINGKOU,,,CN,+86 417 283 0321,,Mo-Fr 08:30-17:00; Sa-Su 08:30-16:00,MoneyGram,Q1944412
71556062,moneygram,BOC - #23634 - LNYK ZIMAOQU SUBBR,,YINGKOU,,,CN,+86 417 283 0321,,Mo-Fr 08:30-17:00; Sa-Su 08:30-16:00,MoneyGram,Q1944412
