Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65717451,moneygram,BOC - #13622 - GDZJ WENMING RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 222 7554,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717370,moneygram,BOC - #33799 - GDZJ ZHANJIANG BRANCH,,ZHANJIANG,,,CN,+86 759 283 3551,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717396,moneygram,BOC - #13608 - GDZJ XIASHAN SUBBRANCH,,ZHANJIANG,,,CN,+86 759 228 5945,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717406,moneygram,BOC - #13617 - GDZJ XIAHAI SUBBRANCH,,ZHANJIANG,,,CN,+86 759 338 3957,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717419,moneygram,BOC - #13628 - GDZJ CHIKAN SUBBRANCH,,ZHANJIANG,,,CN,+86 759 333 8984,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717480,moneygram,BOC - #13609 - GDZJ HONGWU RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 222 6434,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717516,moneygram,BOC - #13630 - GDZJ JINSHAWAN SUBBRANCH,,ZHANJIANG,,,CN,+86 759 313 3676,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717545,moneygram,BOC - #13632 - GDZJ DEVELOPMENT ZONES SU,,ZHANJIANG,,,CN,+86 759 318 9983,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717561,moneygram,BOC - #13636 - GDZJ NANYOUXIBU SUBBRANCH,,ZHANJIANG,,,CN,+86 759 395 3804,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717587,moneygram,BOC - #13637 - GDZJ NANYOUYIQU SUBBRANCH,,ZHANJIANG,,,CN,+86 759 395 3801,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717781,moneygram,BOC - #13638 - GDZJ NANYOUSANQU SUBBRANC,,ZHANJIANG,,,CN,+86 759 390 9779,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
