Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72379853,moneygram,DIAMOND BANK PLC - #171 - BENIN CITY - B,,BENIN CITY,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378524,moneygram,DIAMOND BANK PLC - BENIN,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379316,moneygram,DIAMOND BANK PLC - BENIN MISSION RD,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379251,moneygram,DIAMOND BANK PLC - BENIN UGBOWO RD,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379248,moneygram,DIAMOND BANK PLC - SAPELE RD BENIN,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624825,moneygram,ACCESS BANK PLC - BENIN,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626153,moneygram,ACCESS BANK PLC - BENIN CITY - BENIN AGB,,BENIN CITY,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625617,moneygram,ACCESS BANK PLC - BENIN MISSION RD,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625552,moneygram,ACCESS BANK PLC - BENIN UGBOWO RD,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627385,moneygram,ACCESS BANK PLC - EKENWA BRANCH,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625549,moneygram,ACCESS BANK PLC - SAPELE RD BENIN,,BENIN,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72627233,moneygram,ACCESS BANK PLC - UROMI BRANCH,,UROMI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
