Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74543991,moneygram,COMMERCIAL BANK OF ETHIOPIA - ALIYU AMBA,,DEBREBIRHAN,,,ET,+251 11 681 6169,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74544013,moneygram,COMMERCIAL BANK OF ETHIOPIA - BORA,,DEBREBIRHAN,,,ET,+251 11 681 6169,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74544000,moneygram,COMMERCIAL BANK OF ETHIOPIA - EMEGUA,,DEBREBIRHAN,,,ET,+251 11 681 4481,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74543975,moneygram,COMMERCIAL BANK OF ETHIOPIA - MUFTI DAWU,,DEBREBIRHAN,,,ET,+251 11 681 1058,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74544026,moneygram,COMMERCIAL BANK OF ETHIOPIA - NIGUS HAIL,,DEBREBIRHAN,,,ET,+251 11 681 6169,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74543988,moneygram,COMMERCIAL BANK OF ETHIOPIA - RASA,,DEBREBIRHAN,,,ET,118816168,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74567061,moneygram,COMMERCIAL BANK OF ETHIOPIA - ABI ADI,,ADWA,,,ET,341115478,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74567074,moneygram,COMMERCIAL BANK OF ETHIOPIA - AYDER,,MEKELLE,,,ET,341152486,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74567087,moneygram,COMMERCIAL BANK OF ETHIOPIA - HAWELTI,,MEKELLE,,,ET,342414789,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74567090,moneygram,COMMERCIAL BANK OF ETHIOPIA - KEDAMY WEY,,MEKELLE,,,ET,342314597,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
