Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68919447,moneygram,ARTHAPOS - #BKS - BEKASI - KPRK BEKASI,,BEKASI,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71686851,moneygram,BTN - BEKASI - BEKASI,,BEKASI,,,ID,+62 21 7552471,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686864,moneygram,BTN - BEKASI - DUTA PLAZA,,BEKASI,,,ID,+62 21 8343454,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686877,moneygram,BTN - BEKASI - BEKASI JAYA INDAH,,BEKASI,,,ID,+62 21 8244199,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686929,moneygram,BTN - BEKASI - MUSTIKA JAYA,,BEKASI,,,ID,+62 21 8808280,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686916,moneygram,BTN - BEKASI - BINTARA,,BEKASI,,,ID,+62 21 8895087,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686932,moneygram,BTN - BEKASI - GALAKSI,,BEKASI,,,ID,+62 21 8209407,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686961,moneygram,BTN - BEKASI - DUKUH ZAMRUD,,BEKASI,,,ID,+62 21 8890973,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686990,moneygram,BTN - BEKASI - KEMANG PRATAMA,,BEKASI,,,ID,+62 21 88377249,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71687067,moneygram,BTN - BEKASI - PONDOK TIMUR,,BEKASI,,,ID,+62 21 88854774,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690025,moneygram,BTN - BEKASI - CIBUBUR,,BEKASI,,,ID,+62 21 4840543,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690038,moneygram,BTN - BEKASI - BANTAR GEBANG,,BEKASI,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690041,moneygram,BTN - BEKASI - JATI ASIH,,BEKASI,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690054,moneygram,BTN - BEKASI - PONDOK GEDE,,BEKASI,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690096,moneygram,BTN - BEKASI - JATIMURNI,,BEKASI,,,ID,+62 21 84994806,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691257,moneygram,BTN - CIKARANG - CIKARANG,,CIKARANG,,,ID,+62 21 86906687,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691273,moneygram,BTN - BEKASI - CIBITUNG,,BEKASI,,,ID,+62 21 86614485,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691312,moneygram,BTN - BEKASI - PILAR,,BEKASI,,,ID,+62 21 8804128,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691325,moneygram,BTN - CIKARANG - PINANGSIA,,CIKARANG,,,ID,+62 21 88321060,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691338,moneygram,BTN - BEKASI - TAMAN ASTER,,BEKASI,,,ID,+62 21 89109718,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691341,moneygram,BTN - BEKASI - SETU,,BEKASI,,,ID,+62 21 89920626,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691367,moneygram,BTN - BEKASI - MANGUN JAYA,,BEKASI,,,ID,+62 21 89920626,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691383,moneygram,BTN - BEKASI - KOMPAS EX. SUKARESMI CIK,,BEKASI,,,ID,+62 21 88320941,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691396,moneygram,BTN - BEKASI - PAMOR,,BEKASI,,,ID,+62 21 82678905,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691574,moneygram,BTN - BEKASI - TELUK PUCUNG,,BEKASI,,,ID,+62 21 55766697,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691590,moneygram,BTN - BEKASI - KALIABANG,,BEKASI,,,ID,+62 21 59350234,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691558,moneygram,BTN - BEKASI - BEKASI,,BEKASI,,,ID,+62 21 5469091,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691561,moneygram,BTN - BEKASI - PONDOK UNGU,,BEKASI,,,ID,+62 21 55658516,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691600,moneygram,BTN - BEKASI - MARAKAS,,BEKASI,,,ID,+62 21 88386971,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692586,moneygram,BTN - BEKASI - CIBUBUR,,BEKASI,,,ID,+62 21 74713577,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692609,moneygram,BTN - BEKASI - KALIMAS BEKASI,,BEKASI,,,ID,+62 21 8327171,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692612,moneygram,BTN - BEKASI - CIKARANG,,BEKASI,,,ID,+62 21 8380094,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686974,moneygram,BTN - BEKASI - AHMAD YANI,,BEKASI,,,ID,+62 21 29081175,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686987,moneygram,BTN - BEKASI - RAWA KALONG,,BEKASI,,,ID,+62 21 82436716,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686893,moneygram,BTN - BEKASI - PONDOK HIJAU,,BEKASI,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690119,moneygram,BTN - BEKASI - JATISARI,,BEKASI,,,ID,+62 21 8236080,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690148,moneygram,BTN - BEKASI - JATIRASA,,BEKASI,,,ID,+62 21 84596158,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691286,moneygram,BTN - CIKARANG - RE. MARTADINATA,,CIKARANG,,,ID,+62 21 89109718,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691309,moneygram,BTN - CIKARANG - SERANG,,CIKARANG,,,ID,+62 21 8936275,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71687041,moneygram,BTN - BEKASI - GRAND PRIMA BINTARA,,BEKASI,,,ID,+62 21 82411965,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71687070,moneygram,BTN - BEKASI - SUMMARECON BEKASI EKS. PA,,BEKASI,,,ID,+62 21 8825812,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686903,moneygram,BTN - BEKASI - SETIA MEKAR,,BEKASI,,,ID,+62 21 8840649,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
