Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68450595,moneygram,BOC - #06467 - JSCS FUCHUNJIANGLU SUBBR,,CHANGSHU,,,CN,+86 512 5282 3712,,Mo-Su 08:00-15:45,MoneyGram,Q1944412
66225489,moneygram,BOC - #07188 - JSCS CHANGSHU SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5288 4016,,Mo-Su 08:30-16:20,MoneyGram,Q1944412
66225942,moneygram,BOC - #06461 - JSCS ZHUJIANGLU SUB-BRANC,,CHANGSHU,,,CN,+86 512 5288 4745,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225968,moneygram,BOC - #06462 - JSCS HIGH-TECH GARDEN SUB,,CHANGSHU,,,CN,+86 512 5284 5616,,Mo-Fr 08:15-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225984,moneygram,BOC - #06463 - JSCS CHANGJIANGLU SUB-BRA,,CHANGSHU,,,CN,+86 512 5281 1484,,Mo-Fr 08:15-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66226019,moneygram,BOC - #06464 - JSCS HUWEI SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5273 4293,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66226051,moneygram,BOC - #06447 - JSCS SOUTHEAST DEVELOPMEN,,CHANGSHU,,,CN,+86 512 5283 8212,,Mo-Fr 08:15-15:50; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225560,moneygram,BOC - #06441 - JSCS FANGTA SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5277 2240,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225586,moneygram,BOC - #06442 - JSCS HUAYUANBANG SUB-BRAN,,CHANGSHU,,,CN,+86 512 5278 4274,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225612,moneygram,BOC - #06444 - JSCS SUOLANLU SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5288 1010,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225654,moneygram,BOC - #06449 - JSCS ZHAOSHANGCHENG SUB-B,,CHANGSHU,,,CN,+86 512 5276 3436,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225670,moneygram,BOC - JSCS HUPU SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5263 1662,,Mo-Fr 08:15-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225696,moneygram,BOC - #06448 - JSCS BINJIANG SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5269 1905,,Mo-Fr 08:15-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225722,moneygram,BOC - #06452 - JSCS XUSHI SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5267 1555,,Mo-Fr 08:15-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225735,moneygram,BOC - #06443 - JSCS MEILI SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5266 4812,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225751,moneygram,BOC - #06453 - JSCS DONGZHANG SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5264 6274,,Mo-Fr 07:30-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225777,moneygram,BOC - #06445 - JSCS YANGYUAN SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5247 1789,,Mo-Fr 08:00-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225832,moneygram,BOC - #06454 - JSCS ZHAOSHI SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5238 1974,,Mo-Fr 07:45-17:45; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225858,moneygram,BOC - #06446 - JSCS HAIYU SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5256 2370,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225887,moneygram,BOC - #06456 - JSCS HUANGHELU SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5285 9095,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225890,moneygram,BOC - #06457 - JSCS MOCHENG SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5245 9757,,Mo-Fr 08:00-15:45; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225900,moneygram,BOC - #06458 - JSCS BAOCI SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5289 7323,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66225939,moneygram,BOC - JSCS LINFENG SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5289 0627,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66227393,moneygram,BOC - #06466 - JSCS XINZHUANG SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5248 9981,,Mo-Fr 08:30-16:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
66227416,moneygram,BOC - #06459 - JSCS BIXI SUB-BRANCH,,CHANGSHU,,,CN,+86 512 5269 0081,,Mo-Fr 07:45-15:50; Sa-Su 00:00-24:00,MoneyGram,Q1944412
