Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
000544,bash_za,Foschini ONDANGWA,,ONDANGWA,NAMIBIA,,ZA,,https://bash.com/store/foschini-ondangwa-10019/000544,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
000805,bash_za,Foschini OTJIWARONGO,,OTJIWARONGO,NAMIBIA,,ZA,,https://bash.com/store/foschini-otjiwarongo-10019/000805,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
001018,bash_za,The FIX KATATURA  WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/the-fix-katatura--windhoek-10019/001018,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
010629,bash_za,American Swiss OTJIWARONGO NAMIBIA,,OTJIWARONGO,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-otjiwarongo-namibia-10019/010629,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
060551,bash_za,Totalsports OTJIWARONGO,,OTJIWARONGO,NAMIBIA,,ZA,,https://bash.com/store/totalsports-otjiwarongo-10019/060551,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
030522,bash_za,EXACT OTJIWARONGO,,OTJIWARONGO,NAMIBIA,,ZA,,https://bash.com/store/exact-otjiwarongo-10019/030522,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
015384,bash_za,Sterns OSHANA MALL OSHAKATI NAMIBIA,,OSHAKATI,NAMIBIA,,ZA,,https://bash.com/store/sterns-oshana-mall-oshakati-namibia-10019/015384,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
458629,bash_za,Jet GROOTFONTEIN,,GROOTFONTEIN,NAMIBIA,,ZA,,https://bash.com/store/jet-grootfontein-10019/458629,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
010634,bash_za,American Swiss GROOTFONTEIN NAMIBIA,,GROOTFONTEIN,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-grootfontein-namibia-10019/010634,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
060286,bash_za,Sportscene RUNDU,,RUNDU,NAMIBIA,,ZA,,https://bash.com/store/sportscene-rundu-10019/060286,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
020705,bash_za,MARKHAM OTJIWARONGO,,OTJIWARONGO,NAMIBIA,,ZA,,https://bash.com/store/markham-otjiwarongo-10019/020705,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
060693,bash_za,Totalsports OSHAKATI NAMIBIA,,OSHAKATI,NAMIBIA,,ZA,,https://bash.com/store/totalsports-oshakati-namibia-10019/060693,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
454771,bash_za,Jet RUNDU,,RUNDU,NAMIBIA,,ZA,,https://bash.com/store/jet-rundu-10019/454771,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
020709,bash_za,MARKHAM OSHAKATI,,OSHAKATI,NAMIBIA,,ZA,,https://bash.com/store/markham-oshakati-10019/020709,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
020710,bash_za,MARKHAM ONDANGWA,,ONDANGWA,NAMIBIA,,ZA,,https://bash.com/store/markham-ondangwa-10019/020710,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
459188,bash_za,Jet OSHANA MALL OSHIKATI,,OSHAKATI,NAMIBIA,,ZA,,https://bash.com/store/jet-oshana-mall-oshikati-10019/459188,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
060294,bash_za,Sportscene KATATURA  WINDHOEK,,Katatura,NAMIBIA,,ZA,,https://bash.com/store/sportscene-katatura--windhoek-10019/060294,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
011333,bash_za,American Swiss RUNDU NAMIBIA,,RUNDU,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-rundu-namibia-10019/011333,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
060818,bash_za,Sportscene OSHAKATI NAMIBIA,,OSHAKATI,NAMIBIA,,ZA,,https://bash.com/store/sportscene-oshakati-namibia-10019/060818,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
026890,bash_za,Markham RUNDU,,RUNDU,NAMIBIA,,ZA,,https://bash.com/store/markham-rundu-10019/026890,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
020704,bash_za,MARKHAM GROOTFONTEIN,,GROOTFONTEIN,NAMIBIA,,ZA,,https://bash.com/store/markham-grootfontein-10019/020704,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
021821,bash_za,Markham KATATURA  WINDHOEK,,Katatura,NAMIBIA,,ZA,,https://bash.com/store/markham-katatura--windhoek-10019/021821,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
011288,bash_za,American Swiss ONDANGWA NAMIBIA,,ONDANGWA,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-ondangwa-namibia-10019/011288,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
030498,bash_za,EXACT ONDANGWA,,ONDANGWA,NAMIBIA,,ZA,,https://bash.com/store/exact-ondangwa-10019/030498,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
457784,bash_za,Jet ONDANGWA,,ONDANGWA,NAMIBIA,,ZA,,https://bash.com/store/jet-ondangwa-10019/457784,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
011244,bash_za,American Swiss OSHAKATI NAMIBIA,,OSHAKATI,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-oshakati-namibia-10019/011244,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
