Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
69065769,moneygram,BCS - BAMAKO - MOPTI,,BAMAKO,,,ML,20431572,,Mo-Fr 08:00-18:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
69382691,moneygram,BCS - SEVARE - AGENCE SEVARE,,SEVARE,,,ML,+223 20 21 05 35,,Mo-Fr 08:00-18:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
70737439,moneygram,BCS - BAMAKO - NIAMANA,,BAMAKO,,,ML,+223 20 21 01 96,,Mo-Fr 08:00-18:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43630835,moneygram,BCS,,SOGONI,,,ML,002232210536,,Mo-Fr 08:00-18:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43630864,moneygram,BCS,,BAMAKO,,,ML,002232215035,,Mo-Fr 08:00-18:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43630819,moneygram,BCS,,BAMAKO,,,ML,002232210536,,Mo-Fr 08:00-18:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43630880,moneygram,BCS,,LAFERIA,,,ML,002232210535,,Mo-Fr 08:00-18:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43630822,moneygram,BCS,,BAMAKO,,,ML,002232210535,,Mo-Fr 08:00-18:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43630806,moneygram,BCS,,BAMAKO,,,ML,002232210535,,Mo-Fr 08:00-18:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
43630848,moneygram,BCS,,KALABAN,,,ML,002232210535,,Mo-Fr 08:00-18:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
65115435,moneygram,BCS,,SEGOU,,,ML,2232210535,,Mo-Fr 08:00-16:30; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
67095825,moneygram,BCS - SIKASSO,,SIKASSO,,,ML,+223 20 21 05 35,,Mo-Fr 08:00-18:00; Sa 08:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
