Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71741233,moneygram,DIACONIA FRIF-IFD - EL ALTO - JUAN PABLO,,EL ALTO,,,BO,2841227,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742148,moneygram,DIACONIA FRIF-IFD - ACHACACHI - ACHACACH,,ACHACACHI,,,BO,+591 71532621,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741712,moneygram,DIACONIA FRIF-IFD - BATALLAS - BATALLAS,,BATALLAS,,,BO,+591 73098843,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741644,moneygram,DIACONIA FRIF-IFD - CAQUIAVIRI - CAQUIAV,,CAQUIAVIRI,,,BO,+591 71532651,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741657,moneygram,DIACONIA FRIF-IFD - CARANAVI - CARANAVI,,CARANAVI,,,BO,8232298,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742232,moneygram,DIACONIA FRIF-IFD - CHUA COCANI - CHUA C,,CHUA COCANI,,,BO,+591 68224996,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741851,moneygram,DIACONIA FRIF-IFD - CHULUMANI - CHULUMAN,,CHULUMANI,,,BO,+591 71532645,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741848,moneygram,DIACONIA FRIF-IFD - COCHABAMBA - COCHABA,,COCHABAMBA,,,BO,4553687,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742122,moneygram,DIACONIA FRIF-IFD - COPACABAN - COPACABA,,COPACABAN,,,BO,+591 71532648,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742012,moneygram,DIACONIA FRIF-IFD - EL ALTO - BALLIVIAN,,EL ALTO,,,BO,+591 71532639,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742193,moneygram,DIACONIA FRIF-IFD - EL ALTO - BAUTISTA S,,EL ALTO,,,BO,+591 71532646,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741958,moneygram,DIACONIA FRIF-IFD - EL ALTO - CASCADA,,EL ALTO,,,BO,2836946,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742054,moneygram,DIACONIA FRIF-IFD - EL ALTO - COSMOS 79,,EL ALTO,,,BO,+591 71532656,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741945,moneygram,DIACONIA FRIF-IFD - EL ALTO - ESTRELLAS,,EL ALTO,,,BO,+591 71532642,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741660,moneygram,DIACONIA FRIF-IFD - EL ALTO - FRANCO VAL,,EL ALTO,,,BO,2824775,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741806,moneygram,DIACONIA FRIF-IFD - EL ALTO - FRANZ TAMA,,EL ALTO,,,BO,+591 67986690,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741974,moneygram,DIACONIA FRIF-IFD - EL ALTO - HUAYNA POT,,EL ALTO,,,BO,2842175,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742177,moneygram,DIACONIA FRIF-IFD - EL ALTO - LITORAL,,EL ALTO,,,BO,+591 71532653,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741686,moneygram,DIACONIA FRIF-IFD - EL ALTO - RIO SECO,,EL ALTO,,,BO,2860071,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742025,moneygram,DIACONIA FRIF-IFD - EL ALTO - SAN MARTIN,,EL ALTO,,,BO,+591 71532658,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742009,moneygram,DIACONIA FRIF-IFD - EL ALTO - SAN ROQUE,,EL ALTO,,,BO,+591 71532643,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741961,moneygram,DIACONIA FRIF-IFD - EL ALTO - SANTA ROSA,,EL ALTO,,,BO,2812472,,Mo-Fr 08:00-16:00; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
71741725,moneygram,DIACONIA FRIF-IFD - EL ALTO - SENKATA,,EL ALTO,,,BO,2851138,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
