Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CN1049,hm,Horizon center,,Wuhan,Hubei Province,,CN,,,Mo-Su 10:00-22:00,H&M,Q188326
2da85906-43a9-4595-a416-b0f05b3bf107,nike,湖北省武汉市百丽武汉市江汉区中山大洋 BEACON-L EXTENDED,,武汉,湖北,,CN,+86 180 6251 5687,https://www.nike.com/retail/s/湖北省武汉市百丽武汉市江汉区中山大洋 beacon-l extended,Mo-Su 10:00-22:00,Nike,Q483915
6209fcdac75224441c954f3c4fd55905,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8228 9610,https://location.westernunion.com/cn/hubei/wuhan/6209fcdac75224441c954f3c4fd55905,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
8144a9504b4eb9c1078b16cfd83818a3,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8233 2214,https://location.westernunion.com/cn/hubei/wuhan/8144a9504b4eb9c1078b16cfd83818a3,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
7656e41e183e937fadbb9e6af272b722,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 6569 5671,https://location.westernunion.com/cn/hubei/wuhan/7656e41e183e937fadbb9e6af272b722,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
1603aed9b8d535d448e42619281edd08,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8289 8923,https://location.westernunion.com/cn/hubei/wuhan/1603aed9b8d535d448e42619281edd08,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
c7ee7dad91bc5afd8d05f37bcaede61d,western_union,BANK OF CHINA,,Wuhan,HUBEI,,CN,+86 27 8272 1176,https://location.westernunion.com/cn/hubei/wuhan/c7ee7dad91bc5afd8d05f37bcaede61d,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
5bd24c40112ad01868cb44d4fc5e7569,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8241 7170,https://location.westernunion.com/cn/hubei/wuhan/5bd24c40112ad01868cb44d4fc5e7569,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
c62affb4101eb374e5526ec58ac2151c,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8274 0421,https://location.westernunion.com/cn/hubei/wuhan/c62affb4101eb374e5526ec58ac2151c,Mo-Fr 09:00-17:00; Sa-Su 10:00-16:00,Western Union,Q861042
2e3e7e7e51ac6287a0d0e6dfcd43e73f,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8261 3013,https://location.westernunion.com/cn/hubei/wuhan/2e3e7e7e51ac6287a0d0e6dfcd43e73f,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
a8a01489915d6fffec3fbe52d0639ab3,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8272 9165,https://location.westernunion.com/cn/hubei/wuhan/a8a01489915d6fffec3fbe52d0639ab3,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
1022f8190b6d4abaec89c921660c7404,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8284 9631,https://location.westernunion.com/cn/hubei/wuhan/1022f8190b6d4abaec89c921660c7404,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
151c34c72cf661033d5591adf70561f2,western_union,CHINA CONSTRUCTION BANK,,Wuhan,HUBEI,,CN,+86 27 8277 3477,https://location.westernunion.com/cn/hubei/wuhan/151c34c72cf661033d5591adf70561f2,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:00,Western Union,Q861042
fb575fcd7f73fafb2b5440b684d45f8c,western_union,BANK OF CHINA,,Wuhan,HUBEI,,CN,+86 27 8242 7197,https://location.westernunion.com/cn/hubei/wuhan/fb575fcd7f73fafb2b5440b684d45f8c,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
