Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71987136,moneygram,ENAT BANK S.C. - GONDER - GONDAR BRANCH,,GONDER,,,ET,+251 58 226 6561,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
72634941,moneygram,ABAY BANK S C - #415 - AMBA GIORGIS - AM,,AMBA GIORGIS,,,ET,581180655,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
72683387,moneygram,BERHAN INTERNATIONAL BANK - BELAY ZELEKE,,BELAY ZELEKE,,,ET,331606289,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73436164,moneygram,ABAY BANK S C - #433 - QUARA,,GELEGUL,,,ET,582710489,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
73948717,moneygram,ABAY BANK S C - #466 - GONDERYOHANIS,,GONDER,,,ET,582119327,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74043077,moneygram,ABAY BANK S C - #474 - MAKISEGNIT BRANCH,,MAKISEGNIT,,,ET,+251 11 126 7403,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74195161,moneygram,ABAY BANK S C - #358 - SASIT BRANCH,,SASIT,,,ET,112402453,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74423215,moneygram,ABAY BANK S.C - #381 - LICHE BRANCH,,DEBRE BIRHAN,,,ET,236376145,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74425132,moneygram,ABAY BANK S.C - #383 - MERHABETE BRANCH,,ALEM,,,ET,422389024,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74423189,moneygram,ABAY BANK S.C - #495 - YIFAT BRANCH,,SHEWAROBIT,,,ET,142372797,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74431773,moneygram,ABAY BANK S.C - #497 - YETMEN BRANCH,,YETMEN,,,ET,322116381,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74431799,moneygram,ABAY BANK S.C - #499 - FELEGE BIRHAN BRA,,FELEGE BIRHAN,,,ET,276376145,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74430415,moneygram,ABAY BANK S.C - #A02 - JANO BRANCH,,GONDER,,,ET,411363138,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74552461,moneygram,ABAY BANK S.C - #A16 - DEGAN BRANCH,,DEGAN,,,ET,222893161,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74576612,moneygram,ABAY BANK S.C - #A18 - SEDIE BRANCH,,SEDIE,,,ET,228024665,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74698260,moneygram,ABAY BANK S.C - #A29 - KERAKIR BRANCH,,KERAKIR,,,ET,588446222,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74809295,moneygram,ABAY BANK S.C - #985 - SHEWAREGED BRANCH,,DEBRE BIRHAN,,,ET,636376576,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74945625,moneygram,ABAY BANK SC - #A78 - HIDASIE BRANCH,,GONDER,,,ET,422843858,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74945612,moneygram,ABAY BANK SC - #A77 - MINTIWAB BRANCH,,GONDER,,,ET,333562028,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
