Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66817169,moneygram,BOC - #16054 - XZLS DUOSENGEBEILU SUBBRA,,LAHSA,,,CN,+86 891 632 4643,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
66817172,moneygram,BOC - #16055 - XZLS BEIJINGXILU SUBBRANC,,LAHSA,,,CN,+86 891 683 6509,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
66817156,moneygram,BOC - #16053 - XZLS LINKUOBEILU SUBBRANC,,LAHSA,,,CN,+86 891 682 6859,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
66817130,moneygram,BOC - #16051 - XZLS NAJIN SUBBRANCH,,LAHSA,,,CN,+86 891 635 6736,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
66817143,moneygram,BOC - #16052 - XZLS KANGANGDUO SUBBRANCH,,LAHSA,,,CN,+86 891 632 6361,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
66817185,moneygram,BOC - #16056 - XZLS NIANGREBEILU SUBBRAN,,LAHSA,,,CN,+86 891 682 6501,,Mo-Fr 09:00-18:00; Sa-Su 11:00-16:00,MoneyGram,Q1944412
66817237,moneygram,BOC - #16061 - XZLS JINZHUXILU SUBBRANCH,,LAHSA,,,CN,+86 891 686 8301,,Mo-Fr 09:30-17:30; Sa-Su 10:30-16:30,MoneyGram,Q1944412
66817208,moneygram,BOC - #16058 - XZLS DUODILU SUBBRANCH,,LAHSA,,,CN,+86 891 638 6338,,Mo-Fr 09:30-17:30; Sa-Su 11:00-16:30,MoneyGram,Q1944412
66817224,moneygram,BOC - #16060 - XZLS TIEBENGANG SUBBRANCH,,LAHSA,,,CN,+86 891 636 4306,,Mo-Fr 09:30-17:30; Sa-Su 11:00-16:00,MoneyGram,Q1944412
66817211,moneygram,BOC - #16059 - XZLS GONGBUTANGLU SUBBRAN,,LAHSA,,,CN,+86 891 636 8397,,Mo-Fr 09:30-17:30; Sa-Su 11:00-16:00,MoneyGram,Q1944412
66817198,moneygram,BOC - #16057 - XZLS ZANGRELU SUBBRANCH,,LAHSA,,,CN,+86 891 633 2244,,Mo-Fr 09:30-17:30; Sa-Su 11:00-16:30,MoneyGram,Q1944412
66817240,moneygram,BOC - #16062 - XZLS AIRPORT SUBBRANCH,,LAHSA,,,CN,+86 891 618 2266,,Mo-Fr 09:30-17:30; Sa-Su 11:00-16:30,MoneyGram,Q1944412
66817318,moneygram,BOC - #16072 - XZLS TIBET BRANCH,,LAHSA,,,CN,+86 891 681 5702,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
67731723,moneygram,BOC - #16082 - XZLS ECONOMIC DEVELOPMENT,,LHASA,,,CN,+86 891 635 6736,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
67731749,moneygram,BOC - #16088 - XZLS LIUWU SUBBR,,LHASA,,,CN,+86 891 632 6361,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
67731778,moneygram,BOC - #16089 - XZLS BAYILU SUBBR,,LHASA,,,CN,+86 891 682 6859,,Mo-Fr 09:00-18:00; Sa-Su 10:30-16:30,MoneyGram,Q1944412
