Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68263012,moneygram,DENIZBANK - #9490 - KONYA,,KONYA,,,TR,2388020,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264710,moneygram,DENIZBANK - #2290 - KONYA - YENI TOPTANC,,KONYA,,,TR,3424410,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264406,moneygram,DENIZBANK - #1275 - KONYA - BUSAN,,KONYA,,,TR,3450361,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262369,moneygram,DENIZBANK - #5730 - KONYA - ZAFER MEYDAN,,KONYA,,,TR,3523332,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263740,moneygram,DENIZBANK - #1230 - KONYA - EREGLI,,KONYA,,,TR,7100050,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265683,moneygram,DENIZBANK - #1630 - KONYA - AKSEHIR,,KONYA,,,TR,8132220,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265007,moneygram,DENIZBANK - #3110 - KONYA - MEVLANA,,KONYA,,,TR,3515030,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263834,moneygram,DENIZBANK - #1510 - KONYA - ILGIN,,KONYA,,,TR,8816077,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262398,moneygram,DENIZBANK - #5770 - KONYA - CIHANBEYLI,,KONYA,,,TR,6734455,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265926,moneygram,DENIZBANK - #5760 - KONYA - CUMRA,,KONYA,,,TR,4474755,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265913,moneygram,DENIZBANK - #5740 - KONYA - KARAPINAR,,KONYA,,,TR,7555523,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
