City,Place Name,Zipcode,Name
Lanzhou,audi,No. 88 Beibinhe east Rd. Chengguan District Lanzhou 88 730046 Lanzhou,unknown,"Lanzhou Jindao Yu'ao Automobile Sales and Service Co., Ltd."
Lanzhou,audi,100 meters west of Branch One South Binhe Road Xigu District Lanzhou 730000 Lanzhou,unknown,"Lanzhou Lan'ao Motor Sales & Service Co., Ltd."
Lanzhou,audi,No. 88 Beibinhe west Rd. Anning District Lanzhou 88 730070 Lanzhou,unknown,"Lanzhou Xin'aochitai Automobile Sales & Service Co., Ltd."
Lanzhou,audi,No.105 Jiaojiawan South Road Chengguan District Lanzhou Gansu Prov. 105 730020 Lanzhou,unknown,"Zhongsheng Aoze Motor Sales and Service Co., Ltd. (T)"
Jiuquan,audi,No.2333 East of Tiyu Road Jiayuguan 2333 735100 Jiuquan,unknown,"Jiayuguan Tianhuihuaao Automobile Sales & Service Co., Ltd."
Lanzhou,hm,,unknown,Lanzhou Center
兰州,nike,,unknown,甘肃省兰州市中海广场NIKE SPORT-M
JIUQUAN,visa,,unknown,unknown
JIAYUGUAN,visa,,unknown,unknown
ZHANGYE,visa,,unknown,unknown
JINCHANG,visa,,unknown,unknown
WUWEI,visa,,unknown,unknown
GANNAN,visa,,unknown,unknown
LANZHOU,visa,,unknown,unknown
LINXIA,visa,,unknown,unknown
NEW DISTRICT,visa,,unknown,unknown
BAIYIN,visa,,unknown,unknown
DINGXI,visa,,unknown,unknown
LONGNAN,visa,,unknown,unknown
TIANSHUI,visa,,unknown,unknown
PINGLIANG,visa,,unknown,unknown
QINGYANG,visa,,unknown,unknown
Dunhuang,western_union,,unknown,BANK OF CHINA
Dingxi,western_union,,unknown,BANK OF CHINA
Lanzhou,western_union,,unknown,BANK OF CHINA
Zhangye,western_union,,unknown,POSTAL SAVINGS BANK OF CHINA
Jiuquan,western_union,,unknown,BANK OF CHINA
Jiayuguan,western_union,,unknown,CHINA CONSTRUCTION BANK
Jinchang,western_union,,unknown,CHINA CONSTRUCTION BANK
Wuwei,western_union,,unknown,BANK OF CHINA
Longnan,western_union,,unknown,BANK OF CHINA
Qingyang,western_union,,unknown,BANK OF CHINA
Baiyin,western_union,,unknown,CHINA CONSTRUCTION BANK
Tianshui,western_union,,unknown,BANK OF CHINA
Linxia,western_union,,unknown,POSTAL SAVINGS BANK OF CHINA
Pingliang,western_union,,unknown,BANK OF CHINA
