Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66840110,moneygram,BOC - #16138 - SAXXA ZHUQUELU SUB-BR,,XIAN,,,CN,+86 29 8780 9925,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840178,moneygram,BOC - #16105 - SAXXA GAOXINLU SUB-BR,,XIAN,,,CN,+86 29 8821 1778,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840181,moneygram,BOC - #16112 - SAXXA KEJILU SUB-BR,,XIAN,,,CN,+86 29 8833 2742,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840194,moneygram,BOC - #16199 - SAXXA TANGYANZHONGLU SUB-,,XIAN,,,CN,+86 29 8834 1325,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841287,moneygram,BOC - #16104 - SAXXA TAIBAIXIAOQU SUB-BR,,XIAN,,,CN,+86 29 8821 6362,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841290,moneygram,BOC - #16198 - SAXXA RUANJIAN SUB-BR,,XIAN,,,CN,+86 29 8835 0800,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841300,moneygram,BOC - #16110 - SAXXA NPU SUB-BR(INNPUCAM,,XIAN,,,CN,+86 29 8848 5922,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841313,moneygram,BOC - #16111 - SAXXA JINYELU SUB-BR,,XIAN,,,CN,+86 29 6859 1398,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841326,moneygram,BOC - #16107 - SAXXA NTAIBAILU SUB-BR,,XIAN,,,CN,+86 29 8830 5779,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841339,moneygram,BOC - #16197 - SAXXA STUANJIELU SUB-BR,,XIAN,,,CN,+86 29 8815 7342,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841342,moneygram,BOC - #16120 - SAXXA 6THKEJILU SUB-BR,,XIAN,,,CN,+86 29 6868 8262,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841355,moneygram,BOC - #16178 - SAXXA 4THKEJILU SUB-BR,,XIAN,,,CN,+86 29 8889 8993,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841371,moneygram,BOC - #16157 - SAXXA DRUMTOWER SUB-BR,,XIAN,,,CN,+86 29 8761 5810,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66840741,moneygram,BOC - #16194 - SAXXA 2NDGAOXINLU SUB-BR,,XIAN,,,CN,+86 29 8847 2322,,Mo-Fr 09:00-18:00; Sa-Su 09:00-16:00,MoneyGram,Q1944412
66841368,moneygram,BOC - #16164 - SAXXA TANGYANNLU SUB-BR,,XIAN,,,CN,+86 29 8425 5546,,Mo-Fr 09:00-17:30; Sa-Su 09:00-16:00,MoneyGram,Q1944412
