Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74790443,moneygram,NABIL BANK LIMITED - MURGIYA BRANCH,,RUPANDEHI,,,NP,+977 980-6922883,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790427,moneygram,NABIL BANK LIMITED - LUMBINI BRANCH,,RUPANDEHI,,,NP,+977 980-2626612,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74792412,moneygram,NABIL BANK LIMITED - MANIGRAM BRANCH,,RUPANDEHI,,,NP,07156125,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74792425,moneygram,NABIL BANK LIMITED - KALIKANAGAR BRANCH,,RUPANDEHI,,,NP,+977 71-438031,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74792438,moneygram,NABIL BANK LIMITED - BUTWAL BRANCH,,RUPANDEHI,,,NP,+977 71-541059,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74792771,moneygram,NABIL BANK LIMITED - BHAIRAHAWA BRANCH,,RUPANDEHI,,,NP,+977 71-524041,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790773,moneygram,NABIL BANK LIMITED - SAMMARIMAI BRANCH,,RUPANDEHI,,,NP,+977 984-7386516,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74792454,moneygram,NABIL BANK LIMITED - SUKKHANAGAR BRANCH,,RUPANDEHI,,,NP,+977 71-544845,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74792467,moneygram,NABIL BANK LIMITED - BHALWADI BRANCH,,RUPANDEHI,,,NP,+977 71-560357,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74792441,moneygram,NABIL BANK LIMITED - BUTWAL (CHAURAHA) B,,RUPANDEHI,,,NP,+977 71-542621,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74791154,moneygram,NABIL BANK LIMITED - PHARSATIKAR BRANCH,,RUPANDEHI,,,NP,+977 985-7059973,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
74790757,moneygram,NABIL BANK LIMITED - KHAIRENI BRANCH,,RUPANDEHI,,,NP,+977 984-7366895,,Mo-Fr 07:00-19:00; Sa 08:00-15:00; Su 07:00-19:00,MoneyGram,Q1944412
