City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Riverside Road, Carrickmacross"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Carrickmacross
unknown,inver,Inver Cloughvalley Stores Eurospar Carrickmacross Co. Monaghan.,unknown,Inver Cloughvalley Stores
Castleblayney,lidl_ie,,unknown,Castleblayney
Carrickmacross,lidl_ie,,unknown,Carrickmacross
Monaghan,lidl_ie,,unknown,Monaghan
Monaghan,maxol_ie,,unknown,Maxol Service Station Coolshannagh
Monaghan,subway,,unknown,Subway
Clones Co. Monaghan,subway,,unknown,Subway Applegreen Service Station
CARRICKMACROSS,visa,,unknown,unknown
CASTLEBLANEY,visa,,unknown,unknown
NEWPORT,visa,,unknown,unknown
MONAGHAN,visa,,unknown,unknown
