Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
655f68733afe5f7e6c61f10fa8c6083a,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 311 8678,https://location.westernunion.com/cn/sichuan/dazhou/655f68733afe5f7e6c61f10fa8c6083a,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
85ea50b3a2dd5bf43bd685a960380139,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 267 5919,https://location.westernunion.com/cn/sichuan/dazhou/85ea50b3a2dd5bf43bd685a960380139,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
8e1ebd8178939d0a56ba5dc8919c0745,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 218 1561,https://location.westernunion.com/cn/sichuan/dazhou/8e1ebd8178939d0a56ba5dc8919c0745,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
e2df4f07d44a7d06fd6234d8e04ae58c,western_union,POSTAL SAVINGS BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 210 2155,https://location.westernunion.com/cn/sichuan/dazhou/e2df4f07d44a7d06fd6234d8e04ae58c,Mo-Fr 08:30-17:30; Sa-Su 09:30-16:30,Western Union,Q861042
08473831b55c65806a9fc628108345de,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 212 3545,https://location.westernunion.com/cn/sichuan/dazhou/08473831b55c65806a9fc628108345de,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
0b705ae21f8f25303b3f2d5c71ce057d,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 210 5270,https://location.westernunion.com/cn/sichuan/dazhou/0b705ae21f8f25303b3f2d5c71ce057d,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
efd7eeee17370dd79dac05ca8b4e8bdc,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 212 1034,https://location.westernunion.com/cn/sichuan/dazhou/efd7eeee17370dd79dac05ca8b4e8bdc,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
ca54e0c8e9325fd5cf66d62de3ff821b,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 252 0164,https://location.westernunion.com/cn/sichuan/dazhou/ca54e0c8e9325fd5cf66d62de3ff821b,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
8d49f26a28d83a93a8d9aa4cf9c44794,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 210 5948,https://location.westernunion.com/cn/sichuan/dazhou/8d49f26a28d83a93a8d9aa4cf9c44794,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
179fed09449977987b3e0484d54d444d,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 237 5565,https://location.westernunion.com/cn/sichuan/dazhou/179fed09449977987b3e0484d54d444d,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
0c6503bdfef1e3f57a8c6583f2a64761,western_union,BANK OF CHINA,,Dazhou,SICHUAN,,CN,+86 818 265 3883,https://location.westernunion.com/cn/sichuan/dazhou/0c6503bdfef1e3f57a8c6583f2a64761,Mo-Fr 08:30-17:30; Sa-Su 08:30-17:00,Western Union,Q861042
