Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72410783,moneygram,UNITED BANK S.C - ADDIS ABABA - ABAY MAD,,ADDIS ABABA,,,ET,+251 11 321 7020,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72410770,moneygram,UNITED BANK S.C - ADDIS ABABA - KALITY G,,ADDIS ABABA,,,ET,114626152,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72410741,moneygram,UNITED BANK S.C - ADDIS ABABA - LAFTO,,ADDIS ABABA,,,ET,114711638,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72410754,moneygram,UNITED BANK S.C - ADDIS ABABA - MERKATO,,ADDIS ABABA,,,ET,112316104,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72410725,moneygram,UNITED BANK S.C - ADDIS ABABA - WERETA,,ADDIS ABABA,,,ET,114461561,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685822,moneygram,UNITED BANK S.C - ADDIS ABABA - AKAKI GE,,ADDIS ABABA,,,ET,114715829,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685903,moneygram,UNITED BANK S.C - ADDIS ABABA - AYAT 49,,ADDIS ABABA,,,ET,111747243,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685686,moneygram,UNITED BANK S.C - ADDIS ABABA - AYAT SEB,,ADDIS ABABA,,,ET,111365695,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685699,moneygram,UNITED BANK S.C - ADDIS ABABA - BOLE RWA,,ADDIS ABABA,,,ET,116672441,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685806,moneygram,UNITED BANK S.C - ADDIS ABABA - BULBULA,,ADDIS ABABA,,,ET,114714805,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685770,moneygram,UNITED BANK S.C - ADDIS ABABA - CHILOT A,,ADDIS ABABA,,,ET,576340816,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685783,moneygram,UNITED BANK S.C - ADDIS ABABA - GOTERA C,,ADDIS ABABA,,,ET,116167761,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685709,moneygram,UNITED BANK S.C - ADDIS ABABA - HAYAHULE,,ADDIS ABABA,,,ET,116663973,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685835,moneygram,UNITED BANK S.C - ADDIS ABABA - KARA ALO,,ADDIS ABABA,,,ET,116681012,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685712,moneygram,UNITED BANK S.C - ADDIS ABABA - LEM,,ADDIS ABABA,,,ET,116686317,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685725,moneygram,UNITED BANK S.C - ADDIS ABABA - SEBASTOP,,ADDIS ABABA,,,ET,+251 11 126 3532,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
