City,Place Name,Zipcode,Name
Warszawa,cukiernia_sowa_pl,,unknown,"Warszawa, ul. Powsińska  31"
Marki,cukiernia_sowa_pl,,unknown,"Marki, ul. Józefa Piłsudskiego 1"
Łomianki,cukiernia_sowa_pl,,unknown,"Łomianki, ul. Brukowa 25"
Legionowo,cukiernia_sowa_pl,,unknown,"Legionowo, ul. marsz. J. Piłsudskiego 28"
Pruszków,cukiernia_sowa_pl,,unknown,"Pruszków, ul. Kościuszki 28"
Sochaczew,cukiernia_sowa_pl,,unknown,"Sochaczew, ul. Warszawska 119"
Piaseczno,cukiernia_sowa_pl,,unknown,"Piaseczno, ul. Puławska 46"
Janki,cukiernia_sowa_pl,,unknown,"Janki, ul. Mszczonowska 3"
Wołomin,cukiernia_sowa_pl,,unknown,"Wołomin, ul. Geodetów 2"
Radom,cukiernia_sowa_pl,,unknown,"Radom, ul. Bolesława Chrobrego 1"
Płock,cukiernia_sowa_pl,,unknown,"Płock, ul. Wyszogrodzka 140 (CH Auchan)"
