City,Place Name,Zipcode,Name
Landsberg am Lech,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Landsberg am Lech, Hubert-von-Herkomer-Straße 19/20"
Wangen im Allgäu,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Wangen im Allgäu, Herrenstraße 28"
Nördlingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Nördlingen, Schrannenstraße 1"
Neu-Ulm,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Neu-Ulm, Glacis-Galerie"
Geislingen an der Steige,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Geislingen an der Steige, Hauptstraße 23"
Biberach an der Riß,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Biberach an der Riß, Hindenburgstr. 3"
Weilheim in Oberbayern,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Weilheim in Oberbayern, Marienplatz 12"
Ehingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Ehingen, Hauptstraße 74"
Ravensburg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Ravensburg, Bachstr.8"
Sonthofen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Sonthofen, Bahnhofstraße 3"
Augsburg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Augsburg, Bürgerm.-Fischer-Straße 12"
Friedrichshafen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Friedrichshafen, Karlstraße 47"
Garmisch-Partenkirchen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Garmisch-Partenkirchen, Am Kurpark 11"
Kempten,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Kempten, Fischerstraße 28"
Ulm,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Ulm, Neue Str. 71"
Kaufbeuren,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Kaufbeuren, Schmiedgasse 5"
Heidenheim,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Heidenheim, Hauptstraße 19/21"
Dillingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Dillingen, Königstraße 16"
Memmingen,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Memmingen, Kramerstraße 24"
Günzburg,fielmann_de,,unknown,"Fielmann - Ihr Optiker in Günzburg, Marktplatz 19"
