Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74358665,moneygram,FAYSAL BANK LIMITED - #3436 - LAHORE - I,,LAHORE,,,PK,+92 42 36368725,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74358652,moneygram,FAYSAL BANK LIMITED - #3510 - KARACHI -,,KARACHI,,,PK,0213268013510,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74358649,moneygram,FAYSAL BANK LIMITED - #3629 - RAWALPINDI,,RAWALPINDI,,,PK,+92 51 4834683,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452422,moneygram,FAYSAL BANK LIMITED - #3615 - KARACHI -,,KARACHI,,,PK,0213408378001,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452477,moneygram,FAYSAL BANK LIMITED - #3640 - LAHORE - D,,LAHORE,,,PK,0423334169438,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452383,moneygram,FAYSAL BANK LIMITED - #3644 - GUJRANWALA,,GUJRANWALA,,,PK,0553006318403,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452451,moneygram,FAYSAL BANK LIMITED - #3649 - NAUSHAHRO,,NAUSHAHRO FEROZE,,,PK,02423123551160,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452419,moneygram,FAYSAL BANK LIMITED - #3650 - HYDERABAD,,HYDERABAD,,,PK,2213322668592,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452396,moneygram,FAYSAL BANK LIMITED - #3661 - ATTOCK - F,,ATTOCK,,,PK,0513405011961,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452448,moneygram,FAYSAL BANK LIMITED - #3662 - JHELUM - C,,JHELUM,,,PK,05443475325112,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452480,moneygram,FAYSAL BANK LIMITED - #3668 - CHICHAWATN,,CHICHAWATNI SAHIWAL,,,PK,04453459717523,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452406,moneygram,FAYSAL BANK LIMITED - #3683 - BHIMBER -,,BHIMBER,,,PK,0583459722010,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
74452464,moneygram,FAYSAL BANK LIMITED - #3691 - KHANEWAL -,,KHANEWAL,,,PK,0653217241101,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
