Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68264930,moneygram,DENIZBANK - #2910 - ANTALYA - ALANYA CAR,,ANTALYA,,,TR,5137873,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260837,moneygram,DENIZBANK - #3040 - ANTALYA - 100 YIL,,ANTALYA,,,TR,2433310,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263164,moneygram,DENIZBANK - #2150 - ANTALYA - ALANYA,,ANTALYA,,,TR,5139105,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260808,moneygram,DENIZBANK - #2980 - ANTALYA - KEMER,,ANTALYA,,,TR,8142858,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68266116,moneygram,DENIZBANK - #1255 - ANTALYA - ALANYA SAN,,ANTALYA,,,TR,5153036,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260439,moneygram,DENIZBANK - #2280 - ANTALYA - MANAVGAT,,ANTALYA,,,TR,7431454,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260769,moneygram,DENIZBANK - #2960 - ANTALYA - DEMRE,,ANTALYA,,,TR,8716635,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263494,moneygram,DENIZBANK - #4210 - ANTALYA - SERIK,,ANTALYA,,,TR,7222331,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263669,moneygram,DENIZBANK - #4870 - ANTALYA - FENER,,ANTALYA,,,TR,3248300,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264053,moneygram,DENIZBANK - #5370 - ANTALYA - KONAKLI,,ANTALYA,,,TR,5652919,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260785,moneygram,DENIZBANK - #2890 - ANTALYA - ANTALYA CA,,ANTALYA,,,TR,2487892,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265654,moneygram,DENIZBANK - #1450 - ANTALYA - AKSU,,ANTALYA,,,TR,4262753,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265104,moneygram,DENIZBANK - #3330 - ANTALYA - LARA,,ANTALYA,,,TR,3168960,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265311,moneygram,DENIZBANK - #4050 - ANTALYA - CALLI,,ANTALYA,,,TR,3450016,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261506,moneygram,DENIZBANK - #4860 - ANTALYA - KONYAALTI,,ANTALYA,,,TR,2298840,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263216,moneygram,DENIZBANK - #2320 - ANTALYA - KALKAN,,ANTALYA,,,TR,8441380,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264859,moneygram,DENIZBANK - #2750 - ANTALYA - ANTALYA YE,,ANTALYA,,,TR,3384040,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260002,moneygram,DENIZBANK - #9160 - ANTALYA,,ANTALYA,,,TR,2438494,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260552,moneygram,DENIZBANK - #2350 - ANTALYA - KUMLUCA,,ANTALYA,,,TR,8878572,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263850,moneygram,DENIZBANK - #1530 - ANTALYA - KORKUTELI,,ANTALYA,,,TR,6434102,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265816,moneygram,DENIZBANK - #5220 - ANTALYA - KEPEZ,,ANTALYA,,,TR,3264455,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261687,moneygram,DENIZBANK - #1310 - ANTALYA - FINIKE,,ANTALYA,,,TR,8658100,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264891,moneygram,DENIZBANK - #2970 - ANTALYA - GAZIPASA,,ANTALYA,,,TR,5722125,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261865,moneygram,DENIZBANK - #1590 - ANTALYA - ELMALI,,ANTALYA,,,TR,6186781,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265641,moneygram,DENIZBANK - #1380 - ANTALYA - GREEN DROP,,ANTALYA,,,TR,8418675,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
