Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
060578,bash_za,Totalsports MASERU PIONEER MALL MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/totalsports-maseru-pioneer-mall-maseru-00000/060578,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
020731,bash_za,MARKHAM MASERU CBD,,MASERU,Maseru,,ZA,,https://bash.com/store/markham-maseru-cbd-00000/020731,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
060277,bash_za,Sportscene MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/sportscene-maseru-00000/060277,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
030624,bash_za,EXACT MASERU CBD,,MASERU,Maseru,,ZA,,https://bash.com/store/exact-maseru-cbd-00000/030624,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
459124,bash_za,Jet TEYATEYANENG,,MASERU,Maseru,,ZA,,https://bash.com/store/jet-teyateyaneng-00000/459124,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
000528,bash_za,Foschini MASERU PIONEER MALL MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/foschini-maseru-pioneer-mall-maseru-00000/000528,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
457791,bash_za,Jet MASERU MALL,,MASERU,Maseru,,ZA,,https://bash.com/store/jet-maseru-mall-00000/457791,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
015333,bash_za,Sterns MASERU PIONEER MALL LESOTHO,,MASERU,Maseru,,ZA,,https://bash.com/store/sterns-maseru-pioneer-mall-lesotho-00000/015333,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
453865,bash_za,Jet MAPUTSOE,,MASERU,Maseru,,ZA,,https://bash.com/store/jet-maputsoe-00000/453865,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
030488,bash_za,EXACT MASERU PIONEER MALL MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/exact-maseru-pioneer-mall-maseru-00000/030488,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
026295,bash_za,Fabiani PIONEER MALL MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/fabiani-pioneer-mall-maseru-00000/026295,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Fabiani,Q116379050
060478,bash_za,Totalsports MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/totalsports-maseru-00000/060478,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Totalsports,Q116379123
060326,bash_za,THE SCENE MINI PIONEER MALL,,MASERU,Maseru,,ZA,,https://bash.com/store/the-scene-mini-pioneer-mall-00000/060326,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The Scene,Q117406601
011303,bash_za,American Swiss MASERU PIONEER MALL MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/american-swiss-maseru-pioneer-mall-maseru-00000/011303,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
020730,bash_za,MARKHAM MASERU PIONEER MALL LESOTHO,,MASERU,Maseru,,ZA,,https://bash.com/store/markham-maseru-pioneer-mall-lesotho-00000/020730,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
000540,bash_za,The FIX MASERU PIONEER MALL MASERU,,MASERU,Maseru,,ZA,,https://bash.com/store/the-fix-maseru-pioneer-mall-maseru-00000/000540,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
456688,bash_za,Jet MASERU PIONEER MALL,,MASERU,Maseru,,ZA,,https://bash.com/store/jet-maseru-pioneer-mall-00000/456688,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
456544,bash_za,Jet MASERU CBD,,MASERU,Maseru,,ZA,,https://bash.com/store/jet-maseru-cbd-00000/456544,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
