Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68920119,moneygram,ARTHAPOS - #JKB - JAKARTA BARAT - KPRK D,,JAKARTA BARAT,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71686411,moneygram,BTN - JAKARTA BARAT - JEMBATAN LIMA,,JAKARTA BARAT,,,ID,+62 21 5719863,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686424,moneygram,BTN - JAKARTA BARAT - JEMBATAN DUA,,JAKARTA BARAT,,,ID,+62 21 4220150,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686495,moneygram,BTN - JAKARTA BARAT - MANGGA BESAR,,JAKARTA BARAT,,,ID,+62 21 6326265,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71686589,moneygram,BTN - JAKARTA BARAT - ASEMKA,,JAKARTA BARAT,,,ID,+62 21 42879116,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690753,moneygram,BTN - JAKARTA BARAT - KEMBANGAN,,JAKARTA BARAT,,,ID,+62 21 53140678,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690740,moneygram,BTN - JAKARTA BARAT - TANJUNG DUREN,,JAKARTA BARAT,,,ID,+62 21 56940389,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690850,moneygram,BTN - JAKARTA BARAT - CIPULIR,,JAKARTA BARAT,,,ID,+62 21 58900397,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690863,moneygram,BTN - JAKARTA BARAT - POS PENGUMBEN,,JAKARTA BARAT,,,ID,+62 21 54393437,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690999,moneygram,BTN - JAKARTA BARAT - PURI CBD,,JAKARTA BARAT,,,ID,+62 21 5456811,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692159,moneygram,BTN - JAKARTA BARAT - JAKARTA TANAH ABAN,,JAKARTA BARAT,,,ID,2181700,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690724,moneygram,BTN - JAKARTA BARAT - DAAN MOGOT BARU,,JAKARTA BARAT,,,ID,+62 21 53153481,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71692162,moneygram,BTN - JAKARTA BARAT - JAKARTA KEBON JERU,,JAKARTA BARAT,,,ID,21867024,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690805,moneygram,BTN - JAKARTA BARAT - TAMAN SEMANAN INDA,,JAKARTA BARAT,,,ID,+62 21 5821973,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690779,moneygram,BTN - JAKARTA BARAT - KEMANGGISAN,,JAKARTA BARAT,,,ID,+62 21 54395483,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
