Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
greater-china#haikou,ernst_young,EY,"Unit 2901B, 29/F, Tower A, Internet Financial Tower, 3 Guoxing Avenue",Haikou,Hainan,,CN,+86 898 3660 8880,https://www.ey.com/locations/greater-china#haikou,,EY,Q489097
6036c8cb-257d-4620-9c6f-13c746237585,nike,NIKE海口观澜湖换季优惠店,,海口,海南省,,CN,+86 898 3665 1186,https://www.nike.com/retail/s/耐克海口观澜湖店换季优惠店,Mo-Su 10:00-22:00,Nike Factory Store,Q483915
927f10787b337920b217352ad7bae5bc,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2705,https://location.westernunion.com/cn/hainan/haikou/927f10787b337920b217352ad7bae5bc,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
e3639738f51c5f722742e19f1eefff0e,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2809,https://location.westernunion.com/cn/hainan/haikou/e3639738f51c5f722742e19f1eefff0e,Mo-Fr 09:00-17:00; Su 09:00-17:00,Western Union,Q861042
b9caff017870da20b9eb2136c75c9915,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 3127,https://location.westernunion.com/cn/hainan/haikou/b9caff017870da20b9eb2136c75c9915,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
92cf891567ddc71cf0533f8305ef7c78,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 3096,https://location.westernunion.com/cn/hainan/haikou/92cf891567ddc71cf0533f8305ef7c78,Mo-Fr 08:30-17:00; Su 08:30-17:00,Western Union,Q861042
49978a72e0be9b17d67075f6f6e3b0e6,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 3134,https://location.westernunion.com/cn/hainan/haikou/49978a72e0be9b17d67075f6f6e3b0e6,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
795608a41a82fc49f40f2394408267e3,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 3041,https://location.westernunion.com/cn/hainan/haikou/795608a41a82fc49f40f2394408267e3,Mo-Fr 08:30-17:00; Sa 09:00-17:00,Western Union,Q861042
6ab054d5cbbdb89bc876c568ad773660,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 3112,https://location.westernunion.com/cn/hainan/haikou/6ab054d5cbbdb89bc876c568ad773660,Mo-Fr 08:00-17:00; Sa 09:00-17:00,Western Union,Q861042
668d7e6f6c1892d3b39215ab02c5561d,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2789,https://location.westernunion.com/cn/hainan/haikou/668d7e6f6c1892d3b39215ab02c5561d,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
49f43e2d731ce1abff10b6a989e4e912,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2822,https://location.westernunion.com/cn/hainan/haikou/49f43e2d731ce1abff10b6a989e4e912,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
d62f6ee96c670b4fee5024d3835edb2f,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 2442,https://location.westernunion.com/cn/hainan/haikou/d62f6ee96c670b4fee5024d3835edb2f,Mo-Fr 08:30-17:00; Sa-Su 09:00-17:00,Western Union,Q861042
15f6ac9c02e4277c75ba1bd440747f5f,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,+86 898 6656 3119,https://location.westernunion.com/cn/hainan/haikou/15f6ac9c02e4277c75ba1bd440747f5f,Mo-Fr 08:30-17:00; Sa 09:00-17:00,Western Union,Q861042
32b222e75c7b1525d9259c567794887a,western_union,BANK OF CHINA,,Haikou,HAINAN,,CN,(+86) 898-66563234-6656,https://location.westernunion.com/cn/hainan/haikou/32b222e75c7b1525d9259c567794887a,Mo-Fr 08:30-17:00; Su 09:00-17:00,Western Union,Q861042
