Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
74321294,moneygram,COMMERCIAL BANK OF ETHIOPIA - AL-IMAN,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321320,moneygram,COMMERCIAL BANK OF ETHIOPIA - ALECHE,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321281,moneygram,COMMERCIAL BANK OF ETHIOPIA - ALIKO,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321317,moneygram,COMMERCIAL BANK OF ETHIOPIA - BESHENO,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321362,moneygram,COMMERCIAL BANK OF ETHIOPIA - HAJI HUSEN,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321278,moneygram,COMMERCIAL BANK OF ETHIOPIA - IMAM NUNAD,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321304,moneygram,COMMERCIAL BANK OF ETHIOPIA - NASIHA,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321375,moneygram,COMMERCIAL BANK OF ETHIOPIA - NEIM,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321333,moneygram,COMMERCIAL BANK OF ETHIOPIA - NUR FETRA,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321359,moneygram,COMMERCIAL BANK OF ETHIOPIA - RASA BALA,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
74321346,moneygram,COMMERCIAL BANK OF ETHIOPIA - TENEMIYA,,SHASHEMENE,,,ET,461105029,,Mo-Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
