City,Place Name,Zipcode,Name
unknown,aldi_sud_ie,,unknown,"ALDI Clarke Street, Athenry"
unknown,allied_irish_banks_ie,,unknown,AIB Bank - Athenry
unknown,inver,Bishop’s Street Tuam Galway,unknown,Inver Sharkeys
unknown,inver,Salthill Co. Galway,unknown,Inver O&#8217;Farrells
Clifden,lidl_ie,,unknown,Clifden
Oranmore,lidl_ie,,unknown,Oranmore
Galway,lidl_ie,,unknown,Galway-Headford
Tuam,lidl_ie,,unknown,Tuam
unknown,lidl_ie,,unknown,Wellpark
Gort,lidl_ie,,unknown,Gort
Ballinasloe,lidl_ie,,unknown,Ballinasloe
Galway,maxol_ie,,unknown,Maxol Service Station ChurchView
Galway,snap_fitness,Citypoint,unknown,Galway
Galway,subway,,unknown,Subway Londis C-Store
Galway Co. Galway,subway,,unknown,Subway Calbro House
unknown,supervalu_ie,,unknown,SuperValu
GORT,visa,,unknown,unknown
LOUGHREA,visa,,unknown,unknown
CO GALWAY,visa,,unknown,unknown
BALLINASLOE,visa,,unknown,unknown
ORANMOR,visa,,unknown,unknown
SALTHILL,visa,,unknown,unknown
ATHENRY,visa,,unknown,unknown
GALWAY CITY,visa,,unknown,unknown
ORANMORE,visa,,unknown,unknown
KNOCKNACARRA,visa,,unknown,unknown
DUBLIN ROAD RENMORE,visa,,unknown,unknown
GALWAY,visa,,unknown,unknown
CONNEMARA,visa,,unknown,unknown
RENMORE,visa,,unknown,unknown
MERVUE,visa,,unknown,unknown
TUAM,visa,,unknown,unknown
BALLYBRIT,visa,,unknown,unknown
AHASCRAGH,visa,,unknown,unknown
HEADFORD ROAD,visa,,unknown,unknown
CLIFDEN,visa,,unknown,unknown
Galway,western_union,,unknown,AFRICAN PRIDE STORES
