Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68262916,moneygram,DENIZBANK - #9100 - ANKARA - KOROGLU ANK,,ANKARA,,,TR,4477455,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68266129,moneygram,DENIZBANK - #1245 - ANKARA - DISKAPI,,ANKARA,,,TR,3103433,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260400,moneygram,DENIZBANK - #2180 - ANKARA - GIMAT,,ANKARA,,,TR,3972060,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265803,moneygram,DENIZBANK - #5380 - ANKARA - SANATORYUM,,ANKARA,,,TR,3610065,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68259958,moneygram,DENIZBANK - #9092 - ANKARA,,ANKARA,,,TR,4179500,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260358,moneygram,DENIZBANK - #2160 - ANKARA - CEBECI,,ANKARA,,,TR,3191419,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262314,moneygram,DENIZBANK - #5570 - ANKARA - TUNALI HILM,,ANKARA,,,TR,4674903,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263371,moneygram,DENIZBANK - #3620 - ANKARA - KECIOREN,,ANKARA,,,TR,3577200,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260057,moneygram,DENIZBANK - #9330 - ANKARA - ULUS,,ANKARA,,,TR,3097929,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262330,moneygram,DENIZBANK - #5660 - ANKARA - ETIMESGUT,,ANKARA,,,TR,2433401,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265515,moneygram,DENIZBANK - #4810 - ANKARA - GOLBASI,,ANKARA,,,TR,4853011,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264231,moneygram,DENIZBANK - #6080 - ANKARA - BATIKENT,,ANKARA,,,TR,2509900,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261056,moneygram,DENIZBANK - #3730 - ANKARA - SINCAN,,ANKARA,,,TR,2760108,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261182,moneygram,DENIZBANK - #3950 - ANKARA - KAZIM KARAB,,ANKARA,,,TR,3410022,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
