Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72378168,moneygram,DIAMOND BANK PLC,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379905,moneygram,DIAMOND BANK PLC - #176 - LAGOS - APONGB,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380208,moneygram,DIAMOND BANK PLC - #207 - LAGOS - AJOSE,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380211,moneygram,DIAMOND BANK PLC - #208 - LAGOS - ADETOK,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380224,moneygram,DIAMOND BANK PLC - #209 - LAGOS - OBALEN,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380266,moneygram,DIAMOND BANK PLC - #214 - LAGOS - ADDO R,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378414,moneygram,DIAMOND BANK PLC - ADEOLA ODEKU,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379675,moneygram,DIAMOND BANK PLC - AJAH,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378375,moneygram,DIAMOND BANK PLC - BALOGUN,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378728,moneygram,DIAMOND BANK PLC - BROAD STREET,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378320,moneygram,DIAMOND BANK PLC - HEAD OFFICE BRANCH,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378184,moneygram,DIAMOND BANK PLC - IDUMOTA,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380428,moneygram,DIAMOND BANK PLC - IKOTA RETAIL SHOP,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378702,moneygram,DIAMOND BANK PLC - IKOYI,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379112,moneygram,DIAMOND BANK PLC - LEKKI,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378249,moneygram,DIAMOND BANK PLC - MARINA,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379015,moneygram,DIAMOND BANK PLC - OKE ARIN,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72379361,moneygram,DIAMOND BANK PLC - ONIKAN KING GEORGE,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72380402,moneygram,DIAMOND BANK PLC - THE PALMS RETAIL SHOP,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378427,moneygram,DIAMOND BANK PLC - VI 1 ADEOLA HOPEWELL,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624469,moneygram,ACCESS BANK PLC,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624715,moneygram,ACCESS BANK PLC - ADEOLA ODEKU,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625976,moneygram,ACCESS BANK PLC - AJAH,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624676,moneygram,ACCESS BANK PLC - BALOGUN,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625028,moneygram,ACCESS BANK PLC - BROAD STREET,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624621,moneygram,ACCESS BANK PLC - HEAD OFFICE BRANCH,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624485,moneygram,ACCESS BANK PLC - IDUMOTA,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626726,moneygram,ACCESS BANK PLC - IKOTA RETAIL SHOP,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625002,moneygram,ACCESS BANK PLC - IKOYI,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626564,moneygram,ACCESS BANK PLC - LAGOS - ADDO ROAD,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626519,moneygram,ACCESS BANK PLC - LAGOS - ADETOK,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626506,moneygram,ACCESS BANK PLC - LAGOS - AJOSE ADEOGUN,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626205,moneygram,ACCESS BANK PLC - LAGOS - APONGBON,,LAGOS,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
